name,kind,latitude,longitude,operator,beds,emergency,speciality
Korail Medical Center,clinic,23.7825328219281,90.4079221453641,,,,
Ma medical,pharmacy,23.8655525553766,90.2592444497865,,,,
"Khejmatpur Hospitals, Khejmatpur Union Sub-Health Center, Hospital",hospital,25.3780490457645,89.3284113874101,,,,
"Bumrungrad International Hospital Referral Office-Chattagram, Agrabad C/A, Chattogram",hospital,22.3271064471349,91.8142572220126,,,,
Homeo Datobyo Chikitshaloy,doctor,23.7511112462255,90.409366766376,,,,
Nandail Upazilla Health Complex,hospital,24.5661402696327,90.6902106464697,Government,,,
"MS. Satota Pharmacy, East Mother Bari, 1No Goli, Chattogram",pharmacy,22.3313496179784,91.8214480567452,,,,
Medicine Center,pharmacy,23.5891966815182,89.8330677563956,,,,
"Popular Pharmacy, Pharmacy",pharmacy,25.9276458268051,88.8580173887509,,,,
Square Hospital,hospital,23.8162365384079,90.365826467427,,,,
Hasan Medico,pharmacy,22.3607300326203,91.8314799375584,,,,
Rangpur Pharmacy,pharmacy,25.762821149135,89.2346286197345,,,,
Help pharma health Care Center (হেলপ ফার্মা স্বাস্থ্য সেবা কেন্দ্র),pharmacy,23.7700910601335,90.3497409246848,,,,
Hossen Medical Hall,pharmacy,24.4371149518738,90.7807752662408,,,,
Aideal Homeo Hall,pharmacy,22.7983555675559,89.5631714800368,Dr.Khakon,,,
Argho Dru House,pharmacy,23.6030908594947,89.8364163267134,,,,
Ahsania Pharmacy,pharmacy,23.8130903910517,90.3694335356387,,,,
"Neuro ICU, IBN SINA HOSPITAL",hospital,23.7516288287464,90.3683413736552,,,,
Lasmia Pharmacy,pharmacy,23.0412075495063,89.6328648256297,,,,
"Medinova Clinic And Nursing Home, Hospital",hospital,25.7699372172912,89.2286682483879,,,,
"Manikgonj Orthopedic And General Hospital, Hospital",hospital,23.8683683719288,89.9981279655448,,,,
মাসুদ হোমিও হল,pharmacy,23.408268356195,89.1352234390482,,,,
"21 Field Ambulance, Hospital",hospital,24.7686664963201,89.3954489269825,,,,
Well Heart Pharma,pharmacy,23.8452205728487,90.3876301445142,,,,
কেয়ার মেডিকেল কলেজ হাসপাতাল,hospital,23.7619343786982,90.3715862598307,,,,
Deena Medicine Corner,pharmacy,23.8100560582838,90.3743914313658,,,,
Bismillah Pharmacy,pharmacy,24.0803619582507,89.6327206568952,Abdul Karim Mintu,,,
Atik Medical Hall,pharmacy,22.6867020794002,90.3649686634562,,,,
B Pharma,pharmacy,23.7585649374415,90.4134309835868,,,,
Muna Pharmacy,pharmacy,23.7462514187654,90.4267818465996,,,,
Safe Pharma,pharmacy,23.7644928708229,90.4134744856643,,,,
Janata Medical Hall(জনতা মেডিকেল হল),pharmacy,23.8192512575223,90.3684512604058,,,,
Shantiniketan Pharmacy,pharmacy,21.7774226619393,92.194391199262,,,,
Delta Health Care Chattogram Ltd,hospital,22.364675394444,91.8341209914294,,,yes,clinic;general;orthopaedics
Mediline Pharma,pharmacy,23.7830778970915,90.4268557749856,,,,
Bhola Medicine and Telecom,pharmacy,23.8228196851603,90.3784228753352,,,,
Raz Dental Care,dentist,23.7593085798911,90.3732208985876,,,,
SSS Hospital,hospital,24.2627265226827,89.9235176279122,,,,
Thakurgaon General Hospital,hospital,26.0305928644964,88.4758422504406,,,,
S. S. Dental Care,dentist,23.7718641679308,90.4255212921814,,,,
Medicus Diagnostic & Medical Centre;Rahat Trade International,clinic,23.7348538744682,90.4171428255881,,,,
CDC Cest Hospital Satkhira,hospital,22.6911590725936,89.0761334524269,govt,,,
